wexinID	count	PBTime	PBDate	type
杰杰	1	19:56.8	2026-07-11	New!
波波	1	19:57.9	2026-07-11	New!
左弘毅	1	22:45.8	2026-07-11	New!
Hins	1	23:51.7	2026-07-11	New!
Harvey	1	24:05.6	2026-07-11	New!
恩恩	1	24:15.5	2026-07-11	New!
梅梅	1	24:19.9	2026-07-11	New!
Irene	1	24:20.6	2026-07-11	New!
慈	1	25:17.2	2026-07-11	New!
Ruby	1	28:42.3	2026-07-11	New!
Lynn	1	28:44.2	2026-07-11	New!
皓翔	1	29:07.0	2026-07-11	New!
羚	1	29:38.2	2026-07-11	New!
智宸	4	15:16.3	2026-07-11	PB!
廖砚舒	7	14:42.4	2026-04-11	
Paco	21	15:40.8	2026-07-11	PB!
陈飞飞	21	12:40.6	2026-12-06	
泉哥	10	13:54.3	2026-08-16	
ACE	4	14:41.9	2026-06-27	
余晓帆	7	15:44.9	2026-05-23	
杨尚勋	2	15:55.7	2026-07-04	
小杨	19	12:38.3	2026-05-16	
小陆	14	15:22.8	2026-05-30	
李俊熹	6	16:34.1	2026-05-16	
陈永睿	6	18:45.4	2026-06-20	
Eason	3	17:50.3	2026-06-06	
Hannah	19	18:33.2	2026-03-14	
李玮祺	2	21:47.5	2026-07-11	PB!
Isco	10	20:39.3	2026-05-23	
卢小姐AYU	19	20:27.5	2026-07-26	
Philip	5	22:28.1	2026-05-16	
小黄	11	24:00.0	2026-09-13	
陈岚仔	15	21:50.0	2026-09-13	
温峻和	3	24:07.0	2026-07-11	PB!
LILI芳	24	26:48.7	2026-05-30	
小星星	18	19:02.7	2026-03-14	
Jenny	2	27:56.8	2026-07-04	
周子朗	6	14:15.1	2026-06-06	
容子浚	7	19:13.5	2026-06-20	
